parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat
"mu[Agarwala, 2024]",5.00984989071017,0.627717687521846,3.78570419099013,4.58582051407963,5.01454318822168,5.44191989569026,6.23136919793247,703.594957946943,2104.77456660608,1.00727778348775
"mu[Anggraeni, 2021]",6.76349325982047,0.548770700427125,5.69952464982768,6.38664288355817,6.75059683981061,7.13849498407302,7.84754870638756,580.978460944008,2097.9193942813,1.00584302645578
"mu[Appice, 2020]",6.53197728332798,0.550897799079977,5.47058666027161,6.15952297758439,6.53067550919113,6.89598876248836,7.6048546347747,631.517384176347,1764.51002269669,1.00792794638081
"mu[Baquero, 2018]",3.44136417905361,0.270035846692681,2.91556809994518,3.25819420817506,3.43849134832202,3.6256258275385,3.97592117505214,1925.09652805122,4336.65631190039,1.0021331191265
"mu[Bogado, 2021]",2.88699146014402,0.546773484454694,1.85686938095053,2.49977861087574,2.88359677094703,3.26549891030987,3.97694929388704,506.769269348764,1344.53905201693,1.00666846175263
"mu[Carvajal, 2018]",4.16570635045178,0.580563586476243,3.02829187606349,3.77282715400053,4.17555228111915,4.56171486256581,5.27774583564433,623.242965493995,1816.68281917743,1.0064147316717
"mu[Chakraborty, 2019]",6.01778127906643,0.567712627362655,4.91297686088324,5.63367940836865,6.02523219968642,6.39367084378539,7.14845345993887,648.693882783486,1884.43475459196,1.00771368022041
"mu[Chakraborty, 2020]",4.59581283603017,0.608202653038187,3.36478641023071,4.20065038781738,4.60362102988505,5.01188296659865,5.7608704885742,723.796983271622,2078.15396702713,1.00544806085258
"mu[Chumpu, 2019]",6.34038297322558,0.567869642658511,5.23796242008122,5.95461860070477,6.34043627546768,6.73293581210636,7.45362888800532,663.842459013192,1702.25477077248,1.00689417120421
"mu[Dhaked, 2025]",7.04988775307748,0.658558967464538,5.75725645432567,6.60289290451185,7.05478398529019,7.4866820222377,8.32920557916219,852.799088493917,2774.83238551239,1.00495057564367
"mu[Guo, 2017]",5.44739482155987,0.556205454374511,4.33894530023157,5.06944758756792,5.45185459671934,5.82341352084112,6.55817206672264,581.05901281574,1948.05783703385,1.00823204691859
"mu[Guo, 2018]",5.32106883652638,0.565304062985307,4.22140930652278,4.93151237590218,5.32187268697978,5.70315736201423,6.4428245586228,606.475641486624,2024.00887925177,1.00778663599742
"mu[Handari, 2021]",4.00446211319342,0.547057927567824,2.94637137263928,3.63514234425201,3.99845473735356,4.37725099124206,5.09466663851657,626.450400455249,1865.44355130632,1.00667031029537
"mu[Ho, 2015]",7.24430583732603,0.601288667295757,6.01114586928703,6.84311054584388,7.25085039452859,7.6553148506568,8.40129320055925,714.376112037352,2185.28968205341,1.00654789331453
"mu[Jayashree, 2015]",6.74927066557503,0.711125583377984,5.34942995182125,6.27528156625807,6.76219832775443,7.22671040432034,8.13047447505618,972.086005178857,2586.5552584849,1.00398201307529
"mu[Juraphanthong, 2021]",6.31617683593143,0.652076948883104,5.02971482231304,5.86846176498807,6.31715154585172,6.75942097291615,7.59529284373001,768.809778662562,2319.39684504433,1.00533350926072
"mu[Kakarla, 2023]",4.57762321972435,0.580798563624095,3.42475605493145,4.18652036059879,4.5720182228215,4.97691818827095,5.70189995907449,574.581362731692,1613.61280135494,1.00720914966884
"mu[Kerdprasop, 2020]",7.28166702890066,0.61402634170188,6.08603761188563,6.87277334366138,7.28680309537854,7.69588520768185,8.47302441493273,806.775535239669,2392.72580908582,1.00482806009511
"mu[Khaira, 2020]",6.35489580546055,0.690129118808228,5.01452092956015,5.89377451398954,6.3520212587044,6.82834229856031,7.7150659457064,878.072481725602,3037.03382772043,1.00424714335691
"mu[Koplewitz, 2022]",5.79539443371775,0.583121366344766,4.63946958040368,5.40559395044435,5.78960112129738,6.19609702091904,6.94843422696664,680.522512192157,2012.50849496788,1.00649681275637
"mu[Li, 2022]",4.72727933382525,0.557550455312772,3.64115424440566,4.34522374821012,4.72473600119041,5.10525845639174,5.84463676825936,565.883075063749,1888.96327639723,1.00743217974739
"mu[Ligue, 2022]",7.11720932542821,0.636365682779966,5.86925610279807,6.68768381614867,7.12073053639776,7.54623273539339,8.36738417008957,894.765501062684,2425.98789893027,1.00559823287776
"mu[Liu, 2019]",6.28057312597739,0.820368004153862,4.6841350759792,5.72787705012791,6.27710366175113,6.82475540187799,7.91349205605711,1326.79895502741,3891.66898761071,1.00306977939515
"mu[Mahdiana, 2017]",5.5536277836387,0.636749329737372,4.3111734229212,5.11985853397668,5.55392235960948,5.98465487574,6.77586538144131,800.605582286504,2489.98240454522,1.00618120282266
"mu[Majeed, 2023]",5.46358497442403,0.549517151116911,4.39825560039425,5.09360230252629,5.45740928455045,5.83075506263331,6.56196934152568,625.591705926897,1921.34847746132,1.0058973061573
"mu[Mustaffa, 2024]",7.63109460978852,0.738261610220781,6.17814891214019,7.12961714728895,7.63286326933901,8.13068134039317,9.06940064340684,863.144016873156,2992.07198855473,1.00466443555761
"mu[Nabilah, 2023]",5.73613060556197,0.578860589922626,4.60938110492641,5.34457285267495,5.7370725234815,6.12026047712687,6.88096878117963,640.109972284931,2309.54962562005,1.00766287858874
"mu[Navarro Valencia, 2021]",6.24173044994698,0.652084765888657,4.95276742513692,5.81105895751651,6.25318901679674,6.68151958774002,7.50496709293102,789.490325007041,2811.65948117587,1.00575080269585
"mu[Nguyen, 2022]",5.60030511115673,0.556264907886734,4.4840210407859,5.22863709736304,5.60628216114849,5.97504556839047,6.67336510320104,603.532586061872,2113.26667531422,1.00804137882811
"mu[Othman, 2022]",6.62867953503918,0.65065634468445,5.36692934167666,6.20093495193807,6.62870420759352,7.06580030251071,7.94995905285858,758.483759201077,2723.73838462818,1.00416196937667
"mu[Panja, 2023]",5.98163037740563,0.548677333936501,4.90734638134354,5.61223446033453,5.98182022115529,6.35171668028889,7.05547707484428,610.755594372881,1751.06668032406,1.00654977020696
"mu[Patil, 2021]",5.9583843809774,0.54292835582196,4.89807752167598,5.58425600154396,5.96439931776338,6.32905821748641,7.01338932871911,549.688839754127,1769.99105856205,1.00828053846215
"mu[Patra, 2024]",7.08752003448154,0.720207971652538,5.69071533523446,6.58818363230708,7.08557340341186,7.57730745481437,8.48517755114977,1027.34605984944,2764.95728766289,1.0060364875996
"mu[Pham, 2018]",6.13408149359089,0.681157390024476,4.78729820902897,5.66863614749367,6.13372770635772,6.59409959600897,7.46487806219097,914.554272025037,2836.78231359884,1.0046877951584
"mu[Polwiang, 2020]",5.53996907145601,0.637664168033575,4.30212789016893,5.11175670324125,5.53546923685641,5.96308102152406,6.82178753665995,816.584509468485,2058.76108833263,1.00374318292163
"mu[Prome, 2024]",6.14925012832224,0.61026649281538,4.9320944456863,5.73739336052468,6.15986342734226,6.555878873206,7.35435175719213,728.71444693123,2329.39233682174,1.00669124018599
"mu[Rangarajan, 2019]",5.94509611261187,0.263876141048651,5.43046863020414,5.76509416226186,5.94519770399882,6.12656090609494,6.46307721421758,1612.3550891068,3336.37810965671,1.00300285515762
