.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
Naïve,d[Naïve],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.07325,0.92425
AdaBoost,d[AdaBoost],0.01675,0.02275,0.0225,0.02075,0.01975,0.015,0.01625,0.0155,0.01375,0.0165,0.01075,0.01125,0.0105,0.016,0.01125,0.013,0.01175,0.01575,0.014,0.01175,0.01375,0.01425,0.00975,0.01125,0.01,0.01225,0.01425,0.01125,0.01425,0.01625,0.01775,0.01375,0.0155,0.01875,0.01675,0.0165,0.02075,0.012,0.01975,0.02425,0.02875,0.036,0.051,0.073,0.1135,0.0885,0.00075
ANFIS,d[ANFIS],0.06,0.0565,0.045,0.02725,0.02125,0.023,0.0215,0.02025,0.01725,0.01875,0.01975,0.01125,0.016,0.01525,0.0115,0.01425,0.01425,0.0155,0.015,0.01375,0.0105,0.01325,0.00975,0.00725,0.0095,0.01125,0.0105,0.0105,0.01375,0.013,0.013,0.01625,0.01225,0.01425,0.01,0.01325,0.0145,0.01325,0.01575,0.015,0.0225,0.0325,0.038,0.0545,0.07425,0.07225,0.002
ANN,d[ANN],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00025,0.00275,0.005,0.00925,0.0145,0.03225,0.05325,0.08725,0.11525,0.13475,0.14825,0.13,0.10525,0.07325,0.0465,0.02725,0.01025,0.003,0.0015,0,0,0,0,0,0
AR,d[AR],0,5e-04,0.004,0.00725,0.01175,0.0185,0.03225,0.0325,0.03825,0.0435,0.0515,0.046,0.05225,0.06475,0.06075,0.05875,0.0675,0.043,0.055,0.045,0.0425,0.02875,0.02775,0.023,0.01825,0.0195,0.0175,0.01925,0.01075,0.01175,0.011,0.0085,0.008,0.005,0.005,0.0035,0.002,0.002,0.00175,0.00025,5e-04,0.00025,0.00025,0,0,0,0
ARIMA,d[ARIMA],0,0.00575,0.06575,0.16825,0.22975,0.2125,0.1355,0.09775,0.04875,0.022,0.008,0.00375,0.00175,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIMAX,d[ARIMAX],0,0,0,0,0,0,0,0,0,0,0.00025,0,5e-04,0.00075,0.001,5e-04,0.00175,0.00325,0.00475,0.00775,0.00775,0.007,0.0105,0.01075,0.01675,0.01775,0.0275,0.03475,0.04725,0.057,0.063,0.0625,0.07075,0.0755,0.07,0.06575,0.06375,0.0685,0.04475,0.05,0.0365,0.0325,0.02225,0.01225,0.00325,0.00125,0
ARNN,d[ARNN],0.00025,0.02775,0.06175,0.07775,0.08675,0.08775,0.09025,0.08275,0.07925,0.0635,0.0635,0.0475,0.04125,0.03325,0.035,0.026,0.02,0.01825,0.01125,0.00975,0.00825,0.00625,0.0055,0.00325,0.002,0.00225,0.003,0.0025,0.00125,0.00075,0.00075,0,5e-04,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0
BSTS,d[BSTS],0,0,0.001,0.0025,0.0035,0.005,0.0085,0.014,0.0115,0.01425,0.01725,0.026,0.0255,0.0245,0.033,0.03775,0.03925,0.0355,0.03875,0.0405,0.03675,0.03325,0.03025,0.039,0.03425,0.03925,0.03925,0.032,0.0375,0.0365,0.03325,0.03475,0.02975,0.02325,0.023,0.02075,0.017,0.01575,0.01325,0.01475,0.01125,0.0105,0.00825,0.0055,0.0015,0.00125,0
CNN,d[CNN],0,0,0,0,0,0.00025,0.001,0.00175,0.00325,0.00975,0.01225,0.019,0.028,0.03475,0.04175,0.065,0.071,0.08375,0.09625,0.09225,0.077,0.06875,0.063,0.0515,0.03875,0.0335,0.03025,0.02725,0.01725,0.01025,0.00875,0.00575,0.0045,0.00175,0.001,5e-04,0,0.00025,0,0,0,0,0,0,0,0,0
Damped Holt's,d[Damped Holt's],0,5e-04,0.00075,0.00425,0.00725,0.00975,0.0125,0.02,0.0245,0.02975,0.037,0.041,0.038,0.045,0.05175,0.05925,0.05975,0.06125,0.059,0.05075,0.046,0.0415,0.03075,0.0275,0.0275,0.03275,0.0245,0.026,0.023,0.01975,0.01925,0.016,0.01,0.00975,0.0095,0.0075,0.00425,0.0045,0.00225,0.0015,0.002,0.001,0.001,0,0.00025,0,0
