.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,Treatment
AdaBoost,Naïve,d[AdaBoost],-1.64207291749661,0.538122368368949,-2.69042605513439,-1.99677496647566,-1.64244760649336,-1.28742574226914,-0.592138996803908,327.440733628906,1794.26390893883,1.01534074418429,AdaBoost
ANFIS,Naïve,d[ANFIS],-1.81097437759618,0.614388807314505,-3.03066836793779,-2.21240118472702,-1.81822858400123,-1.4101784361336,-0.571634461115389,704.156614372054,2076.90156822816,1.00409293738668,ANFIS
ANN,Naïve,d[ANN],-1.67124176016323,0.229455445634738,-2.0534971631109,-1.83915470535497,-1.69660070012382,-1.53019450081672,-1.17608982980554,70.1715367247843,115.310206515354,1.06842002947753,ANN
AR,Naïve,d[AR],-1.96031867850704,0.267865358010176,-2.44036451462996,-2.15208720171228,-1.97853285619192,-1.78718806785732,-1.3964824584924,93.9944035065278,238.109801619589,1.04994540557095,AR
ARIMA,Naïve,d[ARIMA],-2.24329143388137,0.230051110767268,-2.6284934404078,-2.41200707191245,-2.26955491289818,-2.10023258450884,-1.74361114629289,66.6015763472931,120.113871081902,1.06882710078859,ARIMA
ARIMAX,Naïve,d[ARIMAX],-1.64474723502951,0.249638923298875,-2.08073927010448,-1.82125132238924,-1.67056463042723,-1.48591757046473,-1.11888103990743,81.3673142561385,150.258429948079,1.05771409128067,ARIMAX
ARNN,Naïve,d[ARNN],-2.14864850740763,0.268627142347883,-2.64227282599165,-2.33272961523988,-2.16507269734036,-1.97323156345783,-1.5830766582674,92.0545305879765,205.13389035162,1.04739357143728,ARNN
BSTS,Naïve,d[BSTS],-1.82277959084095,0.28480394351313,-2.35410038066264,-2.01848090535275,-1.83190135518904,-1.630150433302,-1.23289661430141,109.921426253486,202.145357330977,1.0395500608666,BSTS
CNN,Naïve,d[CNN],-1.88463863927538,0.238656659373654,-2.29348115284023,-2.05776179116121,-1.90949485335564,-1.72987080806039,-1.37930929007724,74.1322463222921,119.296841255933,1.06325055090243,CNN
Damped Holt's,Naïve,d[Damped Holt's],-1.91187898487274,0.268388870001459,-2.38682017421644,-2.10419107917595,-1.93127555862242,-1.73182651123274,-1.36953122423844,84.4954317933755,180.560989211377,1.05264589770633,Damped Holt's
DHR (Dynamic Harmonic Regression ),Naïve,d[DHR (Dynamic Harmonic Regression )],-1.87151860670331,0.747511853790267,-3.33524079436853,-2.37172281050364,-1.85152079085568,-1.36050247982415,-0.400881453908436,1069.65630061014,2237.84006915414,1.00337268111469,DHR
DT,Naïve,d[DT],-1.62051425979158,0.237175210921061,-2.02848413329241,-1.79080114607923,-1.64502763749269,-1.46913886971387,-1.10938113366205,74.1094215751223,119.096153338178,1.06461150180074,DT
ENN,Naïve,d[ENN],-1.57787562233123,0.232562569532193,-1.973257115797,-1.74432059931937,-1.60498919745938,-1.43093929541078,-1.06801267373814,70.6494529171201,134.559747290596,1.06528110175336,ENN
