.trt,parameter,p_rank[1],p_rank[2],p_rank[3],p_rank[4],p_rank[5],p_rank[6],p_rank[7],p_rank[8],p_rank[9],p_rank[10],p_rank[11],p_rank[12],p_rank[13],p_rank[14],p_rank[15],p_rank[16],p_rank[17],p_rank[18],p_rank[19],p_rank[20],p_rank[21],p_rank[22],p_rank[23],p_rank[24],p_rank[25],p_rank[26],p_rank[27],p_rank[28],p_rank[29],p_rank[30],p_rank[31],p_rank[32],p_rank[33],p_rank[34],p_rank[35],p_rank[36],p_rank[37],p_rank[38],p_rank[39],p_rank[40],p_rank[41],p_rank[42],p_rank[43],p_rank[44],p_rank[45],p_rank[46],p_rank[47]
Naïve,d[Naïve],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125,0.000125,0.000875,0.010125,0.14675,1
AdaBoost,d[AdaBoost],0.064875,0.109125,0.139375,0.16025,0.17675,0.19175,0.2075,0.221875,0.23375,0.244375,0.258,0.269,0.27825,0.28875,0.296875,0.305375,0.31525,0.322375,0.332,0.342375,0.351625,0.362625,0.3715,0.382875,0.39225,0.402375,0.412125,0.422875,0.43075,0.438375,0.447625,0.455125,0.463125,0.472625,0.4815,0.494625,0.5095,0.52525,0.54325,0.565625,0.593625,0.631625,0.680125,0.757,0.874625,0.986625,1
ANFIS,d[ANFIS],0.168625,0.247,0.29225,0.3205,0.3445,0.36475,0.38175,0.397625,0.40875,0.42,0.43225,0.442,0.452125,0.463125,0.471875,0.480625,0.489125,0.50075,0.51025,0.518125,0.52775,0.537,0.548125,0.55925,0.568875,0.577125,0.5845,0.5925,0.59825,0.605375,0.611875,0.618625,0.625375,0.634125,0.645,0.657,0.66825,0.679625,0.6945,0.711875,0.735375,0.761375,0.8,0.848,0.9215,0.994375,1
ANN,d[ANN],0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.001375,0.0025,0.00525,0.009625,0.01775,0.02925,0.044375,0.068625,0.100875,0.13975,0.19625,0.2565,0.331,0.40725,0.49375,0.57325,0.653625,0.72325,0.794375,0.84725,0.896875,0.933,0.958375,0.977625,0.988625,0.99575,0.99825,0.9995,1,1,1,1,1
AR,d[AR],0.003,0.01075,0.024125,0.03975,0.05925,0.083125,0.106125,0.133375,0.162375,0.18925,0.22325,0.253125,0.282125,0.3105,0.3415,0.371375,0.4055,0.437,0.47325,0.50875,0.544,0.582375,0.618,0.649875,0.68125,0.709625,0.736625,0.759875,0.78175,0.79875,0.81775,0.8355,0.852,0.8675,0.88425,0.901,0.91625,0.932625,0.949,0.963,0.97425,0.985125,0.993375,0.99775,0.999375,1,1
ARIMA,d[ARIMA],0,0.00025,0.001125,0.004,0.012375,0.03,0.0585,0.101125,0.153875,0.21775,0.290625,0.3745,0.458875,0.540375,0.617875,0.69,0.756875,0.8145,0.8625,0.899875,0.93475,0.95675,0.97225,0.985125,0.99,0.994375,0.997,0.9985,0.99925,0.999875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARIMAX,d[ARIMAX],0,0,0,0.000125,0.000125,0.000125,0.00075,0.000875,0.001875,0.002875,0.003625,0.00475,0.0065,0.0085,0.011875,0.015625,0.020875,0.028,0.037875,0.049125,0.061875,0.08275,0.102,0.12225,0.14475,0.1675,0.19275,0.219,0.25025,0.2835,0.315125,0.355625,0.393125,0.435375,0.48075,0.53375,0.59,0.656375,0.729875,0.79975,0.867875,0.924125,0.96525,0.99125,0.99875,1,1
ARNN,d[ARNN],0.019875,0.068,0.1265,0.185375,0.240875,0.304625,0.36225,0.414875,0.461125,0.505,0.546,0.582375,0.613875,0.64475,0.674,0.69975,0.72525,0.753125,0.78075,0.805,0.826625,0.84775,0.867375,0.883375,0.897,0.91125,0.92175,0.93175,0.939625,0.945875,0.95175,0.95775,0.963625,0.9705,0.9755,0.9825,0.986375,0.988375,0.991625,0.993875,0.996125,0.997625,0.999125,0.99975,1,1,1
BSTS,d[BSTS],0.001375,0.00475,0.010375,0.0185,0.029,0.041125,0.052875,0.0665,0.078125,0.092375,0.109875,0.125375,0.14025,0.16075,0.176625,0.19525,0.213625,0.23475,0.257375,0.280875,0.30775,0.333875,0.3615,0.39,0.41825,0.446125,0.469,0.494375,0.51625,0.537,0.557,0.580125,0.60475,0.627625,0.65175,0.68075,0.712,0.74575,0.784375,0.82275,0.86625,0.908125,0.947625,0.977125,0.99525,1,1
CNN,d[CNN],0.00075,0.002875,0.00775,0.02125,0.04275,0.07075,0.111125,0.159,0.207875,0.26825,0.329625,0.39275,0.455375,0.51325,0.574,0.63,0.68,0.72625,0.7735,0.815,0.8525,0.884375,0.912375,0.936375,0.952875,0.964375,0.97375,0.981125,0.986,0.98925,0.991625,0.994625,0.995625,0.996875,0.99825,0.999,0.999375,0.999625,0.99975,0.99975,1,1,1,1,1,1,1
